Country,Poland,Austria,France,Spain,Belgium,Netherlands,Germany,Sweden,UK,Italy
Poland,0,,,,,,,,,
Austria,8839,,,,,,,,,
France,6033,,,,,,,,,
Spain,5070,,,,,,,,,
Belgium,5156,,,,,,,,,
Netherlands,15069,,,,,,,,,,
Germany,142500,,,,,,,,,,
Sweden,5924,,,,,,,,,,
UK,84221,,,,,,,,,,,
Italy,8121,,,,,,,,,,,
