Country,Poland,Austria,France,Spain,Belgium,Netherlands,Germany,Sweden,UK,Italy
Poland,0,,,,,,,,,
Austria,19954,,,,,,,,,
France,21468,,,,,,,,,
Spain,1565,,,,,,,,,
Belgium,3093,,,,,,,,,
Netherlands,5403,,,,,,,,,,
Germany,610114,,,,,,,,,,
Sweden,15231,,,,,,,,,,
UK,8101,,,,,,,,,,,
Italy,13905,,,,,,,,,,,
